养殖捕猎模型,走私运输模型,收购销售加工模型,使用者模型,核心成员模型,评分权重,场景分类,场景编号,场景名称,场景详细说明(核心成员),场景详细描述(业务含义）,是否可实现,不可实现的原因,场景来源,监测对象,关注的日子,多规则场景标识,场景的多规则逻辑,备注
1,1,1,1,1,15,交易特征,sn001600a,与对手异地交易频繁,与交易对手异地交易笔数金额频繁,与交易对手异地交易笔数金额频繁,,,经验,客户,自然日,,,
1,1,1,1,1,15,交易特征,sn001600b,自身异地交易频繁,自身开户交易反洗钱地址异地的交易频繁,自身开户交易反洗钱地址异地的交易频繁,,,经验,客户,自然日,,,
1,1,1,1,1,15,交易特征,sn001600c,笔数金额过高,笔数金额过高,笔数金额过高,,,经验,客户,自然日,,,
1,1,1,1,1,15,交易特征,sn001600d,交易对手过多,交易对手过多,交易对手过多,,,经验,客户,自然日,,,
1,,,,,12,客户特征,SN001601,职业无业,客户为无业人员或职业不便分类。,客户为无业人员或职业不便分类。,,,人行,客户,自然日,,,
1,,,,,5,客户特征,SN001602,学历低,学历背景多为小学和初中，少数为高中或大专、总体呈现低学历特征,学历背景多为小学和初中，少数为高中或大专、总体呈现低学历特征,,,人行,客户,自然日,,,
1,,1,,,x,客户特征,SN001603,相似地址,客户和交易对手地址相似，或客户和客户地址相似,客户和交易对手地址相似，或客户和客户地址相似,否,模糊匹配算法不易实现,人行,客户,自然日,,,
,1,,,,8,客户特征,SN001604,客户身份模糊,个人账户多采用较难核查的证件开立,个人账户多采用较难核查的证件开立,,,案例,客户,自然日,,,
,1,,,1,8,客户特征,SN001605,高危国家的受益所有人,客户是在IWT高危国家注册的公司的重要职位人物,在IWT的主要过境国或需求国的境内注册的公司的重要职位人物是行内对私客户,,,FATF,客户,自然日,,,
,1,,,1,8,名单类,SN001606,政要或富商客户,客户是外国政要人物或者富商,客户是外国政要人物或者富商,,,FATF,客户,自然日,,,
1,1,1,1,1,11,交易特征,SN001607,经营范围不一致,客户与其上下游交易对手之间经营背景不一致,存在上下游之间经营背景毫无关联的情况，多以虚假经营背景作为掩护,,,人行，FATF,客户,自然日,,,
1,,,,,18,行业风险,SN001608,高风险行业养殖,养殖捕猎环节的客户有特定从业背景，如大多从事农、林、牧、副、渔业和农副产品销售。,客户多具有特定从业背景，养殖捕猎环节的客户大多从事农、林、牧、副、渔行业。常为具有养殖、农副产品购销等行业背景的商户经营者、农户。,,,人行,客户,自然日,,,
,1,,,,12,行业风险,SN001609,高风险行业运输,走私运输环节的客户有特定从业背景，如有进出口贸易、物流快递、货运代理清关等公司经营背景,走私、运输环节的客户常具有进出口贸易、物流快递、货运代理清关等公司经营背景,,,人行,客户,自然日,,,
,1,,,,10,行业风险,SN001610,高风险行业走私销售,走私贩卖环节的客户有特定从业背景，如销售红木原料，建材等。,部分走私贩卖者以销售红木家具、红木工艺品、建筑材料等行业实体作掩护,,,人行,客户,自然日,,,
,1,,,,x,行业风险,SN001611,高风险行业生产类别,生产可能被用作 “掩护货物 ”的公司，如咖啡、茶叶、豆类或旧衣服的制造商或贸易商,生产可能被用作 “掩护货物 ”的公司，如咖啡、茶叶、豆类或旧衣服的制造商或贸易商,否,数据支持情况待定,FATF,客户,自然日,,,
,1,,,,x,行业风险,SN001612,高风险行业货物类别,客户在以下商品的高风险通道或港口经营：原木或方木、塑料废料或颗粒、冷冻食品、鱼肚、各种豆类、石头或石英块,客户在以下商品的高风险通道或港口经营：原木或方木、塑料废料或颗粒、冷冻食品、鱼肚、各种豆类、石头或石英块,否,数据支持情况待定,FATF,客户,自然日,,,
,,1,,,10,行业风险,SN001613,高风险销售加工,售卖加工环节的客户有特定从业背景，销售或制造与野生动物制品高度相关的产品如野味，农副产品，古玩艺术品，皮毛制品，含有野生动物的药品等。,收购、销售、加工环节的客户所从事行业与野生动物制品高度相关，常涉及野味销售、冷冻动物食品销售、农林产品批发、宠物售卖、古玩古董行业及珠宝加工、皮毛制品销售、中药材制造、家装饰品制作、艺术品销售等，皮毛制品公司、制造含有野生动物的药品的制药公司,,,人行,客户,自然日,,,
,,1,,,18,行业风险,SN001614,高风险行业工作单位,"对私客户工作单位和对公客户公司名称包含敏感词，如‘花鸟鱼虫市场‘, '酒店饭店'",对私客户工作单位和对公客户公司名称包含敏感词，如花鸟市场商户，农贸市场商户，电商平台商户,,,人行,客户,自然日,,,
,,1,,,x,行业风险,SN001615,虚假经营背景,团伙部分成员负责境内销售，具有掩饰身份的虚假经营背景,团伙部分成员负责境内销售，具有掩饰身份的虚假经营背景,否,数据支持情况待定,人行,客户,自然日,,,
,,,1,,18,行业风险,SN001616,高风险行业餐饮,使用环节的客户多为餐饮行业的个体工商户以及个人消费者,使用环节的客户多为餐饮客户、高档酒店（会所）、经营餐饮的个体工商户以及个人消费者,,,人行,客户,自然日,,,
,,,1,,18,行业风险,SN001617,高风险行业宠物店,客户从事职行业涉及动物相关，如动物园、宠物店、野生动物保护区管理者,有与野生动物有关的合法实体的参与，如动物园、宠物店、野生动物保护区管理者,,,FATF,客户,自然日,,,
x,,,,,x,地域风险,SN001618,捕猎轨迹,捕猎作案人员多分布在易于抓捕、杀害野生动物的偏远地区，如林区、湖区周边,捕猎作案人员多分布在易于抓捕、杀害野生动物的偏远地区，如林区、湖区周边,否,数据支持情况待定,人行,客户,自然日,,,
1,,1,1,,5,地域风险,SN001619,高风险地区境内售卖,境内野生动物售卖交易主要分布于广东、湖南、湖北、云南等地,境内野生动物售卖交易主要分布于广东、湖南、湖北、云南等地,,,人行,客户,自然日,,,
,1,,,,20,地域风险,SN001620,高风险地区境外走私国家,客户交易地址出现在境外走私泛滥国家，如越南、缅甸、柬埔寨。,交易地址出现在越南、缅甸、柬埔寨等境外国家(走私泛滥地区),,,人行,客户,自然日,,,
,1,1,,,5,地域风险,SN001621,高风险地区国内走私省份,客户交易地址出现在境内走私高危地区，如边境口岸城市、边民互市等地区或是转运仓较为集中的区域，如云南广东广西福建黑龙江,走私人员多分布在边境口岸城市、边民互市等地区或是转运仓较为集中的区域，如云南广东广西福建黑龙江,,,人行,客户,自然日,,,
,1,,,,20,地域风险,SN001622,高风险地区外籍客户,客户国籍是境外高危国家，如自越南、缅甸等地,客户国籍是外国高危国家。走私人员涉及到外籍人员，多来自越南、缅甸等地,,,人行,客户,自然日,,,
,,,1,,5,地域风险,SN001623,高风险地区野味消费,客户交易地址出现在境内野味消费高危地区，如广东，湖南，湖北，云南，重庆等地,境内野味消费交易主要分布在广东，湖南，湖北，云南，重庆等地,,,人行,客户,自然日,,,
,x,,,,x,地域风险,SN001624,现金买机票,在IWT高风险地区旅行的航空公司乘客使用第三方支付或现金支付机票,在IWT高风险地区旅行的航空公司乘客使用第三方支付或现金支付机票,否,数据支持情况待定,FATF,客户,自然日,,,
,,1,1,,5,地域风险,SN001625,高风险地区动物制品,客户交易地址出现在境内野野生动物制品高危地区，如福建、江苏、北京、浙江等地,野生动物制品交易主要分布于福建、江苏、北京、浙江等地,,,人行,客户,自然日,,,
1,1,1,1,,22,交易风险,SN001626,频繁使用现金或第三方支付,客户频繁使用现金或第三方或跨行支付，累计交易金额和占比高。,1当地收购商多使用现金给养殖者和捕猎者支付费用.2野生动物及其制品的零售环节使用现金频率或第三方支付方式频率很高,,,人行，FATF,客户,自然日,,,
1,1,1,1,1,80,交易风险,SN001627now,当月交易有附言敏感词高,命中当月交易附言敏感词高。交易附言中出现野生动物及其制品名称相关字眼，或备注涉及行业暗语和黑化,命中当月交易附言敏感词高。交易附言中出现野生动物及其制品名称相关字眼，或备注涉及行业暗语和黑化,,,人行，案例,客户,自然日,,,
